#	Company	Website
1	Bank of Valletta p.l.c.	bov.com
2	Malta International Airport p.l.c.	maltairport.com
3	HSBC Bank Malta p.l.c.	hsbc.com.mt
4	GO p.l.c.	go.com.mt
5	International Hotel Investments p.l.c.	corinthia.com
6	Simonds Farsons Cisk p.l.c.	farsons.com
7	RS2 Software p.l.c.	rs2.com
8	APS Bank p.l.c.	apsbank.com.mt
9	Lombard Bank Malta p.l.c.	lombardmalta.com
10	BMIT Technologies p.l.c.	bmit.com.mt
11	PG p.l.c. (PAMA & PAVI)	pggroup.com.mt
12	MaltaPost p.l.c.	maltapost.com
13	Mapfre Middlesea p.l.c.	middlesea.com
14	FIMBank p.l.c.	fimbank.com
15	MeDirect Bank (Malta) p.l.c.	medirect.com.mt
16	AX Real Estate p.l.c.	axgroup.mt
17	Malta Properties Company p.l.c.	maltaproperties.com.mt
18	M&Z p.l.c.	mz.com.mt
19	Main Street Complex p.l.c.	mainstreetcomplex.com
20	MedservRegis p.l.c.	medservregis.com
21	Harvest Technology p.l.c.	harvest.tech
22	LifeStar Holding p.l.c.	lifestarholding.com
23	LifeStar Insurance p.l.c.	lifestarinsurance.com
24	Tigné Mall p.l.c. (The Point)	thepointmalta.com
25	MIDI p.l.c.	midimalta.com
26	Grand Harbour Marina p.l.c.	cnmarinas.com
27	Santumas Shareholdings p.l.c.	santumas.com
28	Loqus Holdings p.l.c.	loqusgroup.com
29	Malita Investments p.l.c.	malitainvestments.com
30	Plaza Centres p.l.c.	plazamalta.com
31	The Convenience Shop p.l.c.	theconvenienceshop.com
32	VBL p.l.c.	vbl.com.mt
33	Lidl Malta	lidl.com.mt
34	Welbee’s Supermarket	welbees.mt
35	Greens Supermarket	greens.com.mt
36	Arkadia Marketing Ltd	arkadia.com.mt
37	Alf. Mizzi & Sons (Marketing)	alfmizziandsons.com
38	Hudson Group	hudson.com.mt
39	Malta Dairy Products	benna.com.mt
40	Foster Clark Products	fosterclark.com
41	Nectar	nectar.com.mt
42	Francis Busuttil & Sons	fbsmarketing.com
43	Quintano Foods Ltd	farsons.com
44	SPAR Malta	spar.com.mt
45	Smart Supermarket	smart.com.mt
46	Valhmor Borg Imp/Exp Ltd	valhmor.com
47	Magro Brothers	magro.com.mt
48	Consolidated Biscuit Co.	cbcmalta.com
49	Bay Street Shopping Complex	baystreet.com.mt
50	Embassy Shopping Complex	embassycomplex.com.mt
51	The Shoreline Mall	theshorelinemall.com
52	Mercury Towers	mercury.com.mt
53	Centerparc	centerparc.com.mt
